WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00557CLRH,,JEB,11.61971304,1906.1833,1425,-117.418483,51.58812139,984,1012,1,3,10,26,86,178,270,260,120,26,4,1,1,Regional,4E,,491
01280SMAR,JIM SMITH LAKE,JIM SMITH,23.01394932,2501.731,1058,-115.8454152,49.48248746,1471,506,2,6,20,59,146,258,366,355,189,58,9,2,9,Family,4E,,492
00832KHOR,,JUBILEE,2.84719006,1025.5876,786,-116.4247072,50.93499379,1589,527,1,5,25,80,191,290,377,360,193,57,8,2,1,Regional,4E,,493
00084SMAR,,KAUFMAN,0.89275693,399.9674,1154,-115.6174288,50.10917687,1344,526,1,4,15,48,131,246,348,330,165,47,7,2,3,Regional,4E,,494
00477KOTL,KIAKHO LAKES,KIAKHO,3.29386821,1063.8866,1078,-115.9062593,49.49647304,1455,613,2,6,20,57,142,254,363,352,189,57,9,2,3,Regional,4E,,495
00255SMAR,LARCHWOOD LAKE,LARCHWOOD,15.61131744,2778.9146,848,-115.796978,49.9507067,1639,397,2,7,25,74,180,293,398,377,205,64,10,2,2,Trophy,4E,00255SMAR,497
00647SMAR,LAZY LAKE,LAZY(ROCK),29.40840381,3599.9926,908,-115.6205798,49.82658085,1573,476,2,7,24,69,164,280,385,367,200,62,10,2,3,Regional,4E,,498
00633COLR,LILLIAN LAKE,LILLIAN,22.08395839,2695.9468,944,-116.100051,50.50718205,1468,438,1,5,20,64,162,271,359,346,179,53,7,2,4,Regional,4E,,500
01073SMAR,,LISBON,4.53500107,835.278,1075,-115.9542416,49.60019277,1479,527,2,6,20,58,148,261,369,356,191,57,9,2,2,Regional,4E,,501
00764KHOR,,LITTLE MITTEN,4.88068884,907.5722,999,-116.5839117,50.96517558,1361,629,1,4,18,57,149,254,341,322,163,45,6,1,1,Trophy,4E,00764KHOR,502
00681KOTL,,LITTLE MONROE(MUD),5.65928236,985.1629,1120,-115.8796589,49.35757618,1431,610,2,7,19,54,136,246,358,349,191,57,9,3,1,Regional,4E,,503
